Instance, D-Wave p(s), Classical SA p(s)
Benchmarking--108q--15us--02-Aug-2012-17-33-32.txt, 0.385425, 0.76
Benchmarking--108q--15us--02-Aug-2012-17-33-41.txt, 0.710880, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-33-49.txt, 0.949990, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-33-58.txt, 0.648207, 0.95
Benchmarking--108q--15us--02-Aug-2012-17-34-06.txt, 0.228942, 0.98
Benchmarking--108q--15us--02-Aug-2012-17-34-15.txt, 0.624324, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-34-24.txt, 0.978021, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-34-33.txt, 0.697460, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-34-41.txt, 0.914570, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-34-50.txt, 0.264790, 0.93
Benchmarking--108q--15us--02-Aug-2012-17-34-59.txt, 0.098594, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-35-07.txt, 0.482379, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-35-16.txt, 0.964147, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-35-25.txt, 0.942481, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-35-33.txt, 0.971525, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-35-42.txt, 0.954089, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-35-51.txt, 0.665857, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-35-59.txt, 0.905576, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-36-08.txt, 0.153823, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-36-16.txt, 0.912113, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-36-25.txt, 0.731577, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-36-34.txt, 0.947153, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-36-42.txt, 0.544831, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-36-51.txt, 0.819503, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-37-00.txt, 0.947535, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-37-08.txt, 0.597946, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-37-17.txt, 0.807482, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-37-25.txt, 0.893221, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-37-34.txt, 0.070390, 0.98
Benchmarking--108q--15us--02-Aug-2012-17-37-43.txt, 0.769891, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-37-51.txt, 0.870492, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-38-00.txt, 0.691319, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-38-09.txt, 0.614476, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-38-17.txt, 0.969903, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-38-26.txt, 0.959443, 0.98
Benchmarking--108q--15us--02-Aug-2012-17-38-34.txt, 0.489044, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-38-43.txt, 0.982922, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-38-52.txt, 0.911399, 1.00
